ID,name,タイミング,場所、領地番号,if_alive,次のスクリプト（戦闘勝利）,次のスクリプト（戦闘敗北）,val1,ope1,imm1,val2,ope2,imm2,val3,ope3,imm3,タイトル,報酬（装備かどうか）,アイテム番号
0,t1_1000,3,1,0,,,1000,=,0,,,,,,,Master of the Bar,0,0
1,t0_1001,3,0,0 9,,,1001,=,0,,,,,,,Vega and Messerschmitt face off,0,20
2,t1_1002,3,1,0 5,,,1002,=,0,,,,,,,Torianna's Work Diary 1,0,4
3,t0_1003,3,0,0 5,,,1003,=,0,1002,=,1,,,,Torianna's Work Diary 2,0,5
4,t0_1004,3,0,0 5,,,1004,=,0,1003,=,1,,,,Torianna's Work Diary 3,0,6
5,t1_1005,3,1,0 13 15,,,1005,=,0,,,,,,,Kasumi's cosplay,0,23
6,t1_1006,3,1,0 19,,,1006,=,0,,,,,,,Akali and the Pumpkin 1,0,46
7,t1_1007,3,0,0 19,,,1007,=,0,1006,=,1,,,,Akali and the Pumpkin 2,0,47
8,t3_1008,3,3,0 28 29,,,1008,=,0,,,,,,,Cider on the Rise?!,0,36
9,t1_1009,3,1,0 5,,,1009,=,0,203,=,1,,,,The meaning of War,0,43
10,t1_1010,3,0,0 2 13,,,1010,=,0,,,,,,,Charlotte is not dirty,0,22
11,t3_1011,3,3,0,,,1011,=,0,712,=,1,,,,Meeg's Magic Training 1,0,26
12,t3_1012,3,3,0,,,1012,=,0,1011,=,1,,,,Meeg's Magic Training 2,0,27
13,t3_1013,3,3,0,,,1013,=,0,1012,=,1,,,,Meeg's Magic Training 3,0,28
14,t3_1014,3,3,0,15,16,1014,=,0,1013,=,1,,,,Meeg's Magic Training 4,1,49
15,t3_1014A,-1,3,,,,,,,,,,,,,Meeg's Magic Training 4A,0,-1
16,t3_1014B,-1,3,,,,,,,,,,,,,Meeg's Magic Training 4B,0,-1
17,t1_1015,3,1,0 2,,,1015,=,0,,,,,,,Secrets of Currency,0,4
18,t1_1016,3,1,0 14 16 27,,,1016,=,0,,,,,,,Veronica's Magic Class 1,0,9
19,t1_1017,3,1,0 14 16 27,,,1017,=,0,1016,=,1,,,,Veronica's Magic Class 2,0,10
20,t1_1018,3,1,0 14 16 27,,,1018,=,0,1017,=,1,,,,Veronica's Magic Class 3,0,11
21,t1_1019,3,1,0 7 6,,,1019,=,0,,,,,,,Carton's New Voice,1,35
22,t1_1020,3,1,0 2,,,1020,=,0,,,,,,,Which is True?,0,30
23,t2_1021,-1,1,0,,,1021,=,0,,,,,,,In Search of the Wise Man's Grimoire 1,0,2
24,t1_1022,-1,1,0 5,,,1022,=,0,,,,,,,In Search of the Wise Man's Grimoire 2,0,3
25,t1_1023,-1,1,0 5,,,1023,=,0,,,,,,,In Search of the Wise Man's Grimoire 3,1,27
26,t1_1024,-1,1,0 19,,,1024,=,0,,,,,,,In Search of the Wise Man's Grimoire 4,1,28
27,t1_1025,-1,1,0 13 04 15 16 1,,,1025,=,0,,,,,,,In Search of the Wise Man's Grimoire 5,1,29
28,t1_1026,-1,1,,,,1026,=,0,,,,,,,In Search of the Wise Man's Grimoire 6,1,30
29,t1_1027,-1,1,,,,1027,=,0,,,,,,,In Search of the Wise Man's Grimoire 7,1,31
30,t1_1028,-1,1,,,,1028,=,0,,,,,,,In Search of the Wise Man's Grimoire 8,1,32
,,,,,,,,,,,,,,,,,,
,説明,,,,,,,,,,,,,,,,,
,場所リスト,Plaza,0,,,,,,,,,,,,,,,
,,The Bar Tolebow,1,,,,,,,,,,,,,,,
,,Back Alley,2,,,,,,,,,,,,,,,
,,Outskirts of Town,3,,,,,,,,,,,,,,,
,,Borudakkun Store,4,,,,,,,,,,,,,,,
,,Kant's Magic Shop,5,,,,,,,,,,,,,,,
,タイミング,Morning,0,,,,,,,,,,,,,,,
,,Noon,1,,,,,,,,,,,,,,,
,,Evening,2,,,,,,,,,,,,,,,
,,Anytime,3,,,,,,,,,,,,,,,
,,Not activated,-1,,,,,,,,,,,,,,,
