ID,領主名,領主名（英語）,旗画像パス,メイン領地,グループリスト,占領フラグ,交戦フラグ,宣戦布告可能フラグ
0,Alice,ALICE,AliceBase,1,38,10008,,
1,Triaina,TRIAINA,TriainaBase,19,2 3 4 5 46 47 48,10001,10011,10020
2,Olivia,ORIVIA,OriviaBase,28,6 7 8,10002,10012,10020
3,Vega,VEGA,VegaBase,42,9 10 11 42 43 44 45,10003,10013,10020
4,Charlotte,SHARLOTTE,CharlotteBase,49,12 13 14,10004,10014,10020
5,Pumpking,PUMPKING,PumpkingBase,61,26 27 28 29 30,10005,10015,10020
6,Lily,LILY,LilyBase,76,15 16 17 18 19 20 21 22 23 24 25,10006,10016,10020
7,Veronica,VERONICA,VelonicaBase,84,,10007,10017,
8,Ryza,RAISA,RaisaBase,104,31 32 33 34 35 36 39 40 41,10009,10018,10021
9,Maisie,MEISIE,MeisieBase,10,0 1,10000,10010,
10,Empty,EMPTY,FreeBase,0,,,,
